Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_200
0.0493629686534404,0.0497921880379926,0.0493629686534404,0.0493629686534404,91728000,0.0636139843612908,0.0728341045975684,0.0908623179793357,0.0617912272346791,0.0711692722058718,0.0868491859288217
0.0519382692873477,0.0523674886844585,0.0519382692873477,0.0519382692873477,94684800,0.0627554738894104,0.0722159870713948,0.090628379639238,0.0608528502873142,0.0704151152286748,0.0865018136239314
0.0523675046861171,0.0527967184833553,0.0523675046861171,0.0523675046861171,49996800,0.0617038171738385,0.0716150385141372,0.0904223404452204,0.0600447221348192,0.0697073657956333,0.0861621687588785
0.0523675046861171,0.0527967184833553,0.0523675046861171,0.0523675046861171,61129600,0.0605877799913286,0.0711085324734448,0.0902506423927843,0.0593135585682762,0.0690273712423189,0.0858259034447217
0.0566604062914848,0.0570896255699185,0.0566604062914848,0.0566604062914848,45046400,0.0598795352503656,0.0706449481099843,0.0900896785594522,0.0590608773990579,0.0685423922246392,0.0855356994929482
0.0583772733807563,0.0592357062277398,0.0583772733807563,0.0583772733807563,43097600,0.05930005479604,0.0701641949266194,0.089924418684095,0.0589957722544578,0.0681437601131143,0.0852654663973045
0.0583772738954932,0.0583772738954932,0.0579480603337287,0.0579480603337287,28358400,0.0588064180687069,0.0696061823517083,0.0897291136719286,0.0588959901667693,0.0677439287492169,0.0849936514115973
0.0613817758858203,0.0622402085986323,0.0613817758858203,0.0613817758858203,38841600,0.0584844671189784,0.0691769349575042,0.0895273702591657,0.0591327316638218,0.0674944325584954,0.0847587073765149
0.063527874648571,0.0639570882348322,0.063527874648571,0.063527874648571,31091200,0.0582483589649199,0.0688163626193999,0.0893148927018045,0.0595513167099884,0.0673388812679102,0.0845474553095702
0.0639570653438568,0.0648154979401603,0.0639570653438568,0.0639570653438568,54521600,0.0580766320228576,0.0684042835235595,0.0890766617655753,0.0599709118179758,0.0672062610355944,0.0843425758074238
0.0661039426922798,0.0665331620184985,0.0661039426922798,0.0661039426922798,27350400,0.0581195920705794,0.0680093885958194,0.0887976554781198,0.060555009996481,0.0671630328652683,0.0841610968709547
0.0661039426922798,0.0669623756136931,0.0661039426922798,0.0661039426922798,44195200,0.0582483954727649,0.0676316626369952,0.0885100653767585,0.0610834797770332,0.067121499917308,0.0839814236950475
0.0626694136541877,0.0626694136541877,0.0622401945292949,0.0622401945292949,30979200,0.0582483954727649,0.0671509090811013,0.0882181786186992,0.0611936430867724,0.0669300761766016,0.0837650930565823
0.063527874648571,0.0639570882348322,0.063527874648571,0.063527874648571,29433600,0.0583986215293406,0.0666444031149148,0.0879498988203703,0.0614159508545628,0.0667966565088357,0.0835637276992887
0.0630986771906312,0.0630986771906312,0.062669463455677,0.062669463455677,36467200,0.0584844646975397,0.0661636500805615,0.087670888993889,0.0615353330070498,0.0666348058008687,0.0833558245724866
0.0639570653438568,0.0643862845075195,0.0639570653438568,0.0639570653438568,20585600,0.0586132291704415,0.0657086490839719,0.087411193717271,0.0617659741819838,0.0665297963711819,0.0831628020925997
0.0673916041851043,0.067820817839181,0.0673916041851043,0.0673916041851043,35728000,0.0590854063630103,0.0653223388642072,0.0871944279409944,0.0623017484679953,0.0665635927560416,0.0830058747502366
0.0673916041851043,0.067820817839181,0.0673916041851043,0.0673916041851043,76899200,0.0596219662576913,0.0649875351041555,0.0870012690313159,0.0627864966315295,0.0665960637924755,0.0828505088739666
0.0673915880687913,0.0673915880687913,0.0669623687863349,0.0669623687863349,32278400,0.0601585257798432,0.0646784838289021,0.0868166944198309,0.063184198741511,0.0666104286941954,0.082692417927821
0.0656739553325385,0.0656739553325385,0.0652447417378425,0.0652447417378425,27910400,0.0609740752726792,0.0643865861743688,0.0865956327505409,0.0633804409316378,0.0665568723429659,0.0825188092095128
0.0652447417378425,0.0656739553325385,0.0652447417378425,0.0652447417378425,27283200,0.0617681639268993,0.0641204410046338,0.0863788632862269,0.0635579933893716,0.0665054162408042,0.0823469279411379
0.0665331780910492,0.0673916112198358,0.0665331780910492,0.0665331780910492,85590400,0.0624979093670844,0.0639315859228372,0.0861878505907952,0.0638413443133408,0.0665065049408138,0.0821895771963609
0.0686792433261871,0.0691084626640906,0.0686792433261871,0.0686792433261871,44172800,0.0633134962990879,0.0638199894875287,0.0860054223425685,0.0643020966002786,0.0665917103676912,0.0820551460135732
0.0682500141201919,0.0682500141201919,0.0678207948803901,0.0678207948803901,30486400,0.0640861608088016,0.0637083926051854,0.0858079711906611,0.064637210722194,0.0666399097603461,0.0819135106789146
0.0686792433261871,0.0691084626640906,0.0686792433261871,0.0686792433261871,52729600,0.0646871026605367,0.063596796169877,0.0856191045604645,0.0650221662082885,0.0667198836256732,0.0817818264266487
0.0686792433261871,0.0691084626640906,0.0686792433261871,0.0686792433261871,36915200,0.0652022011578082,0.0635882114619016,0.0853980466909706,0.065370459267136,0.0667967212609874,0.0816514524654501
0.0682500141201919,0.0682500141201919,0.0678207948803901,0.0678207948803901,28380800,0.0656958378851413,0.0636483163386582,0.0851898652873932,0.0656038245636364,0.0668368810107679,0.0815138339820166
0.0665331620184985,0.0665331620184985,0.0661039426922798,0.0661039426922798,23811200,0.0659319462254643,0.0636397316306829,0.0849623687379061,0.0656514548616024,0.0668081383316115,0.0813605017303774
0.0618109951077377,0.0618109951077377,0.0613817758858203,0.0613817758858203,23363200,0.0658246412873267,0.0635624723136424,0.0847048235312103,0.0652448187686708,0.0665953398043256,0.0811617084383918
