Date,Future_Return_5d
1981-09-28,0.1826126947631956
1981-09-29,0.1157102677629073
1981-09-30,0.1721348239472813
1981-10-01,0.2131163214544489
1981-10-02,0.1287787986347104
1981-10-05,0.1323574888660446
1981-10-06,0.1407446998498407
1981-10-07,0.0139849105224878
1981-10-08,0.0
1981-10-09,-0.020132285326995
1981-10-12,-0.0324772965270305
1981-10-13,0.0194793448072936
1981-10-14,0.082766605965294
1981-10-15,0.0540627898660726
1981-10-16,0.0410930322386893
1981-10-19,0.0201334502617136
1981-10-20,-0.0127378789158553
1981-10-21,0.019106818373785
1981-10-22,0.0128195299780133
1981-10-23,0.0526402817585613
1981-10-26,0.0526402817585613
1981-10-27,0.0193530029120032
1981-10-28,-0.0374975102983604
1981-10-29,-0.0949416621542958
1981-10-30,-0.1000049143130404
1981-11-02,-0.0875050390693311
1981-11-03,-0.0696268480535499
1981-11-04,-0.0194903903950282
1981-11-05,0.0909161199717547
1981-11-06,0.0069439610362882
1981-11-09,-0.0205472888844409
1981-11-10,-0.0068017820848541
1981-11-11,0.0
1981-11-12,-0.0320600627290876
1981-11-13,0.0482734225249479
1981-11-16,0.0139849105224878
1981-11-17,-0.01369856906493
1981-11-18,-0.0264890803913276
1981-11-19,0.0
1981-11-20,-0.019736094583065
1981-11-23,0.0275845991090823
1981-11-24,0.0416645497156233
1981-11-25,0.0068024905546222
1981-11-27,0.0066217240829136
1981-11-30,0.0268444061931654
1981-12-01,0.0067114219053381
1981-12-02,0.0066666790097973
1981-12-03,0.020269470702569
1981-12-04,-0.0131571299352374
1981-12-07,-0.0522849623846053
1981-12-08,-0.006666679009796
1981-12-09,0.0331219546736343
1981-12-10,0.119209770425442
1981-12-11,0.2200109375564134
1981-12-14,0.2068967932018461
1981-12-15,0.1946322836960854
1981-12-16,0.1153764373932488
1981-12-17,0.0355006224548599
1981-12-18,-0.0874354350833835
1981-12-21,-0.0285698444341794
1981-12-22,-0.0056179813629124
1981-12-23,0.0172407824959031
1981-12-24,0.0057136911668889
1981-12-28,0.0
1981-12-29,-0.0294100860164671
1981-12-30,-0.1412446038502095
1981-12-31,-0.1016887089025481
1982-01-04,-0.1534100844156707
1982-01-05,-0.1377269940349649
1982-01-06,-0.1333354758373416
1982-01-07,-0.0131571299352374
1982-01-08,0.0062887232113568
1982-01-11,0.0939664303091785
1982-01-12,0.1041733376992253
1982-01-13,0.132872065349098
1982-01-14,0.1000056238387818
1982-01-15,0.0374970763634336
1982-01-18,-0.0122687150269266
1982-01-19,-0.025155438675205
1982-01-20,-0.0370350251018101
1982-01-21,-0.0242402412536649
1982-01-22,-0.0180708788168988
1982-01-25,0.0
1982-01-26,0.0451582386069682
1982-01-27,0.0384593687903609
1982-01-28,-0.0186327910601422
1982-01-29,-0.0306729056833956
1982-02-01,-0.0807513662483533
1982-02-02,-0.0864254158705833
1982-02-03,-0.0740805503626209
1982-02-04,-0.0632979934751599
1982-02-05,-0.0506406138890072
1982-02-08,-0.0067565293276885
1982-02-09,0.0067559429252124
1982-02-10,0.0066666790097973
1982-02-11,0.01351270681389
1982-02-12,-0.0133325480016615
1982-02-16,-0.0068017820848541
1982-02-17,-0.0134217953694313
1982-02-18,-0.0331106895237318
1982-02-19,-0.0266647488527823
1982-02-22,-0.0067565293276885
1982-02-23,0.0068483631586975
1982-02-24,0.0
1982-02-25,-0.01369856906493
1982-02-26,-0.0890361514966735
1982-03-01,-0.108837014994881
1982-03-02,-0.1020345244402588
1982-03-03,-0.1156390332363246
1982-03-04,-0.0972157558533769
1982-03-05,-0.0827140080798046
1982-03-08,-0.076343928447306
1982-03-09,-0.0984917350563082
1982-03-10,-0.1307740117482666
1982-03-11,-0.0615475561827947
1982-03-12,0.0901725403073645
1982-03-15,0.1818217420035028
1982-03-16,0.1848778657776508
1982-03-17,0.1769955091788719
1982-03-18,0.0819764399907672
1982-03-19,-0.0225546345331195
1982-03-22,-0.0699256450413277
1982-03-23,-0.0425504046566269
1982-03-24,0.0150367927912231
1982-03-25,0.0757529654505135
1982-03-26,0.0923017404766461
1982-03-29,0.0676652739203051
1982-03-30,0.0444414043972383
1982-03-31,0.0296280743673844
1982-04-01,-0.014083869178763
1982-04-02,-0.0211254370611998
1982-04-05,-0.0985859230126885
1982-04-06,-0.0851009324158261
1982-04-07,-0.0575508978790711
1982-04-08,-0.0357121492423391
1982-04-12,-0.0503569263797354
1982-04-13,-0.015623652432008
1982-04-14,-0.0310192833536459
1982-04-15,-0.0610781107377145
1982-04-16,-0.0888964375775377
1982-04-19,-0.0454513716346881
1982-04-20,-0.031757508181709
1982-04-21,-0.0639963740738785
1982-04-22,-0.0487773436193548
1982-04-23,-0.0406477275501523
1982-04-26,-0.031757508181709
1982-04-27,0.0327991267167697
1982-04-28,0.0598255868077075
1982-04-29,0.0940262387523955
1982-04-30,0.1017038159009771
1982-05-03,0.0491913273499629
1982-05-04,-0.0158858141159456
1982-05-05,-0.0241923032398585
1982-05-06,-0.0468849923437794
1982-05-07,-0.100006809428789
1982-05-10,-0.1015690640969103
1982-05-11,-0.0887048085888537
1982-05-12,-0.074376314053153
1982-05-13,-0.0737666101479683
1982-05-14,-0.0256394736227222
1982-05-17,0.0
1982-05-18,0.0176980839818559
1982-05-19,0.0178565658433198
1982-05-20,-0.0088494644070633
1982-05-21,-0.0175433027034858
1982-05-24,-0.0434753570188475
1982-05-25,-0.0260858783236075
1982-05-26,-0.0526283093960099
1982-05-27,-0.0624956170472894
1982-05-28,-0.0624956170472894
1982-06-01,-0.054542087778248
