Date,Future_Return_5d
1999-11-04,0.040686119028767
1999-11-05,0.1327521808918597
1999-11-08,0.0795747217995368
1999-11-09,0.2008885597523182
1999-11-10,0.257701134687063
1999-11-11,0.1790111193055066
1999-11-12,0.3398387529287328
1999-11-15,0.3645372153812485
1999-11-16,0.1563640666208066
1999-11-17,0.0788042376641944
1999-11-18,0.0680746255752393
1999-11-19,-0.1399413971546991
1999-11-22,-0.1912478937592059
1999-11-23,-0.0849142536374357
1999-11-24,0.0146119635375505
1999-11-26,-0.0032753505783262
1999-11-29,0.0627158664968432
1999-11-30,0.0938654017841806
1999-12-01,0.0876339300933739
1999-12-02,-0.0175965998575222
1999-12-03,-0.0049225732397198
1999-12-06,-0.0350930160863796
1999-12-07,-0.0181481182896157
1999-12-08,-0.0900483743766906
1999-12-09,-0.068407242676278
1999-12-10,-0.0082365486528814
1999-12-13,0.0776884944084794
1999-12-14,0.1428609329246721
1999-12-15,0.2083328458816398
1999-12-16,0.2972117959542075
1999-12-17,0.1860557552963266
1999-12-20,0.0920181799181831
1999-12-21,0.0823450448247495
1999-12-22,0.0660968626744706
1999-12-23,0.0121202423022581
1999-12-27,0.0490164345284138
1999-12-28,0.023881505249909
1999-12-29,-0.0421148801580739
1999-12-30,-0.1118669345609334
1999-12-31,-0.1078478590467855
2000-01-03,-0.0761026011659403
2000-01-04,-0.0891677845191759
2000-01-05,-0.0822684948770745
2000-01-06,0.0227603848700006
2000-01-07,0.0492433992295988
2000-01-10,0.0592535935797715
2000-01-11,0.0933748867815438
2000-01-12,0.1190100023713449
2000-01-13,0.0623177644532457
2000-01-14,-0.027016400519673
2000-01-18,-0.0750396323048222
2000-01-19,-0.1046854277202574
2000-01-20,-0.1491761443645896
2000-01-21,-0.1647985372627809
2000-01-24,-0.1330409354057943
2000-01-25,-0.1047224630506428
2000-01-26,-0.039995031506164
2000-01-27,0.0292239270751
2000-01-28,0.085276061521665
2000-01-31,0.0269768102523095
2000-02-01,0.0510781348101261
2000-02-02,0.0480735407194683
2000-02-03,0.2429017605310837
2000-02-04,0.232672235978059
2000-02-07,0.5238034205503712
2000-02-08,0.398119678681869
2000-02-09,0.4266052126868243
2000-02-10,0.2258875652265766
2000-02-11,0.347499758029653
2000-02-14,0.1293106908555474
2000-02-15,0.181615669223621
2000-02-16,0.1189789419790292
2000-02-17,0.0134596533028006
2000-02-18,-0.0983292738871909
2000-02-22,-0.0229010319535775
2000-02-23,-0.0569290780452526
2000-02-24,-0.1120732448244692
2000-02-25,-0.0377959954130665
2000-02-28,-0.0370406721458334
2000-02-29,0.3017632702254198
2000-03-01,0.3521137652571555
2000-03-02,0.731124836123469
2000-03-03,1.0042478238116188
2000-03-06,1.5512860893438227
2000-03-07,0.321827828486406
2000-03-08,0.2574399069440618
2000-03-09,-0.0610709935797864
2000-03-10,-0.1536000862939658
2000-03-13,-0.3312397120900643
2000-03-14,-0.1384798093538239
2000-03-15,-0.0952636786531787
2000-03-16,0.0326871803850246
2000-03-17,-0.0669572963226934
2000-03-20,-0.1277419841819168
2000-03-21,-0.1508528771940526
2000-03-22,-0.2125581620071227
2000-03-23,-0.2307208900031035
2000-03-24,-0.0933961427213196
2000-03-27,-0.1055241057760107
2000-03-28,-0.0690480489274734
2000-03-29,0.2184394887360619
2000-03-30,0.2823767924846172
2000-03-31,0.213983466072547
2000-04-03,0.2006409222165237
2000-04-04,0.1724988243965639
2000-04-05,-0.140422664387205
2000-04-06,-0.2136838364845782
2000-04-07,-0.3292193984857887
2000-04-10,-0.2266058544671242
2000-04-11,-0.0319810521283759
2000-04-12,0.0285455408737651
2000-04-13,0.0687704047040227
2000-04-14,0.1137815827394568
2000-04-17,0.1754519591024173
2000-04-18,-0.0117506404750944
2000-04-19,0.122589921301903
2000-04-20,0.1054240273131703
2000-04-24,0.200657956343341
2000-04-25,0.040444494522728
2000-04-26,0.0341772401864182
2000-04-27,-0.0322761788854791
2000-04-28,0.0336608325634009
2000-05-01,-0.0353272164326714
2000-05-02,-0.0106001476637485
2000-05-03,-0.0933899551472542
2000-05-04,-0.0660075520706027
2000-05-05,-0.1343272664840399
2000-05-08,-0.0394382309903944
2000-05-09,0.0742815051290315
2000-05-10,0.4009478911049504
2000-05-11,0.2522790129968013
2000-05-12,0.2805607224376991
2000-05-15,0.2756638773610644
2000-05-16,0.1476111740950885
2000-05-17,-0.0361979293124926
2000-05-18,0.019419126147274
2000-05-19,0.0333567787924748
2000-05-22,0.0103413594566388
2000-05-23,0.0579333846364291
2000-05-24,0.1015256172852616
2000-05-25,0.252978451102922
2000-05-26,0.2734632123669194
2000-05-30,0.1621190928536973
2000-05-31,0.0690065374225945
2000-06-01,0.0479503237233722
2000-06-02,-0.0389582211679081
2000-06-05,-0.0842911870724043
2000-06-06,-0.0058758227162682
2000-06-07,0.0394464676953791
2000-06-08,0.0584647657302865
2000-06-09,0.1843811977562608
2000-06-12,0.2930416531913
2000-06-13,0.2368288872503117
2000-06-14,0.3637230646662037
2000-06-15,0.25648228301941
2000-06-16,-0.0112668295434361
2000-06-19,0.0428130014977476
2000-06-20,-0.0923560636175199
2000-06-21,-0.2078043832402452
2000-06-22,-0.2828738321903048
2000-06-23,-0.1414105775936723
2000-06-26,-0.2632748283381584
2000-06-27,-0.2342095143602711
2000-06-28,-0.1551099513362908
2000-06-29,-0.0074631745305117
2000-06-30,-0.0373654070485462
2000-07-03,0.0817978722603394
2000-07-05,0.2462742420837831
2000-07-06,0.2850968740983728
2000-07-07,0.2685276286309463
2000-07-10,0.1930550772985479
