Date,Future_Return_5d
1986-12-24,-0.0329095373036155
1986-12-26,0.0253794189037539
1986-12-29,0.084649861398055
1986-12-30,0.1308884517567137
1986-12-31,0.1554359402122509
1987-01-02,0.2146585331105679
1987-01-05,0.2227753341728611
1987-01-06,0.1707325354013813
1987-01-07,0.1111083360498019
1987-01-08,0.1345312490599102
1987-01-09,0.0646558166307178
1987-01-12,0.0364346569851303
1987-01-13,0.083333595383171
1987-01-14,0.1291687907261847
1987-01-15,0.1778680611548415
1987-01-16,0.0931157567819529
1987-01-19,0.0742183307377684
1987-01-20,0.1000026016839132
1987-01-21,0.0590409744352267
1987-01-22,-0.0771843049687827
1987-01-23,0.0833323498396698
1987-01-26,0.0618188678194329
1987-01-27,0.0034961388736884
1987-01-28,0.0034841532579423
1987-01-29,0.0400020044099054
1987-01-30,-0.0581198935131024
1987-02-02,-0.0650686832910544
1987-02-03,-0.0452970115501815
1987-02-04,-0.0034720560824309
1987-02-05,0.0734255622560862
1987-02-06,0.1034503470253283
1987-02-09,0.1208800052422707
1987-02-10,0.0474461817949598
1987-02-11,-0.0418133452594862
1987-02-12,-0.1140065695244316
1987-02-13,-0.0493430198944008
1987-02-17,-0.0098034540911484
1987-02-18,0.038329386788442
1987-02-19,0.1236370241343352
1987-02-20,0.128676540483192
1987-02-23,0.0311441586555527
1987-02-24,-0.0165000252766501
1987-02-25,0.0704689151288371
1987-02-26,0.0809087657487517
1987-02-27,0.0846929097410129
1987-03-02,0.097312465230172
1987-03-03,0.1308714989696735
1987-03-04,0.072099060106646
1987-03-05,0.0284409537884291
1987-03-06,-0.0060091495805578
1987-03-09,0.0061155779611814
1987-03-10,0.0089008120813229
1987-03-11,0.0467840860043158
1987-03-12,0.0625906149353188
1987-03-13,0.0906358894433119
1987-03-16,0.089667093819107
1987-03-17,0.0617648026018313
1987-03-18,0.0041897419601164
1987-03-19,-0.0219167010513917
1987-03-20,0.0166197820198803
1987-03-23,0.0794995661798692
1987-03-24,0.0720238302176741
1987-03-25,0.0125164727772801
1987-03-26,0.0644248603559072
1987-03-27,0.0871938500234124
1987-03-30,0.0258377963053098
1987-03-31,-0.028425187290257
1987-04-01,0.063189132529843
1987-04-02,0.0
1987-04-03,-0.0413535938869462
1987-04-06,-0.0680084723238148
1987-04-07,0.0
1987-04-08,-0.0077545891105677
1987-04-09,0.036842937239877
1987-04-10,0.0013070547560647
1987-04-13,0.0513508694926281
1987-04-14,0.0478725760998561
1987-04-15,0.0260431448660445
1987-04-16,0.0050759689134947
1987-04-20,0.0339434423383826
1987-04-21,0.0925448683720486
1987-04-22,0.048223017141336
1987-04-23,0.0558367931516947
1987-04-24,0.0606052028833115
1987-04-27,0.0808084430052182
1987-04-28,0.0894112394808759
1987-04-29,0.0944306091056412
1987-04-30,0.1370189889743716
1987-05-01,0.2047626387381478
1987-05-04,0.1495307833830579
1987-05-05,0.0259170432931148
1987-05-06,0.0774339751456576
1987-05-07,0.0380549465485555
1987-05-08,-0.0573111747830742
1987-05-11,-0.0630057628760246
1987-05-12,-0.063156797100436
1987-05-13,-0.1006168938693445
1987-05-14,-0.0916481639215883
1987-05-15,-0.092244304024745
1987-05-18,-0.0498937585674664
1987-05-19,-0.0157319003530106
1987-05-20,0.0616451639768231
1987-05-21,0.0336325878512153
1987-05-22,0.0438796892106843
1987-05-26,0.0273978932011977
1987-05-27,0.0342474622273689
1987-05-28,-0.0322586792062785
1987-05-29,-0.0520626675294363
1987-06-01,-0.0287617384991233
1987-06-02,-0.031111251629986
1987-06-03,-0.0860924398111018
1987-06-04,-0.1333321697045352
1987-06-05,-0.1006857245636969
1987-06-08,-0.1047825223233613
1987-06-09,-0.0802754753577035
1987-06-10,0.0024148705306126
1987-06-11,0.0756387725819098
1987-06-12,0.0636124580507795
1987-06-15,0.0559790228292524
1987-06-16,0.0249388542405548
1987-06-17,0.0096378957699825
1987-06-18,-0.0035751187725014
1987-06-19,0.0023918303293017
1987-06-22,0.0048192509783007
1987-06-23,-0.0072987825886356
1987-06-24,-0.0214782435710833
1987-06-25,-0.0430623078220371
1987-06-26,-0.0692105126575669
1987-06-29,-0.1342921764599891
1987-06-30,-0.0857847996732368
1987-07-01,-0.0658547112645604
1987-07-02,-0.0299980978701035
1987-07-06,0.0179473414876432
1987-07-07,0.1634341411956348
1987-07-08,0.0965151228115821
1987-07-09,0.0652758225808962
1987-07-10,0.0541230731835973
1987-07-13,0.0025188427390898
1987-07-14,-0.0547616537648477
1987-07-15,-0.022006215711501
1987-07-16,-0.0416667637218834
1987-07-17,-0.0366751581691842
1987-07-20,0.002512654573169
1987-07-21,0.0025188427390898
1987-07-22,-0.0074997166371516
1987-07-23,-0.0076721188609379
1987-07-24,-0.045685493820285
1987-07-27,-0.0802008308100112
1987-07-28,-0.057788105480785
1987-07-29,-0.02014989701788
1987-07-30,0.0412348021499613
1987-07-31,0.1010638978006297
1987-08-03,0.1280663742197447
1987-08-04,0.0826678231056781
1987-08-05,0.0282760437897802
1987-08-06,0.0198032666838394
1987-08-07,0.0
1987-08-10,0.0072457593760804
1987-08-11,0.0098511114660557
1987-08-12,0.0250011285598028
1987-08-13,0.0218434737394788
1987-08-14,0.0338167620520382
1987-08-17,0.0719433984624691
1987-08-18,0.1195132521732442
1987-08-19,0.1268292909069628
1987-08-20,0.0997636964720987
1987-08-21,0.1238321341331325
1987-08-24,0.0626387395149836
1987-08-25,-0.0108949031527962
1987-08-26,-0.0043283720702296
1987-08-27,-0.0043186016457944
1987-08-28,-0.0686074547321528
