Date,Close,High,Low,Open,Volume,SMA_20,EMA_20,SMA_50,EMA_50,SMA_200,EMA_200,Future_Return_5d
1999-11-04,0.0557651966810226,0.0571985986392261,0.0530194429457156,0.0530194429457156,1260336000,0.042839019931852775,0.0441756898632883,0.04405225962400431,0.04298772594007643,0.03921105524525041,0.04019206505581409,0.040686119028767065
1999-11-05,0.0539741218090057,0.057795613307053,0.0513475907539915,0.057317814982435,616368000,0.04329279400408264,0.04510887385811853,0.0441907756030559,0.04341856499375993,0.039292849972844074,0.04032919994888068,0.1327521808918597
1999-11-08,0.0555267520248889,0.0570793762943595,0.0506304344252555,0.0523022776739287,470016000,0.04388390034437176,0.046101052731144274,0.044307795539498276,0.04389339585772577,0.03936270434409375,0.04048041937252255,0.07957472179953684
1999-11-09,0.0546903759241104,0.0556459795985475,0.052541646177533,0.0554075381869069,272352000,0.044463039562106094,0.04691908351142676,0.04441168300807471,0.04431680684072124,0.03944449914619322,0.040621811975025915,0.20088855975231823
1999-11-10,0.0542134903371334,0.0549297335494798,0.0531386677198726,0.0548701240537106,144048000,0.04507803712040183,0.04761378892339882,0.04442123912274832,0.04470491207587466,0.039524505622684905,0.040757052555743405,0.257701134687063
1999-11-11,0.0580340661108493,0.0608999545230805,0.0530194446711395,0.0542134896819161,562704000,0.045925836823880635,0.048606196274584575,0.044557371437549544,0.045227623998814845,0.03962421573698516,0.04092896313838128,0.17901111930550662
1999-11-12,0.0611393041908741,0.0611393041908741,0.0570793714812306,0.0605422869149994,501504000,0.04694086592644449,0.04979982559994548,0.04476754873991008,0.045851611457326975,0.03974840730428691,0.04113006105930161,0.3398387529287328
1999-11-15,0.0599452778697013,0.0634081907572429,0.0589896741833063,0.0615565928840067,362208000,0.048003629967570266,0.050766059149446034,0.0449466741085052,0.046404304257812244,0.03986304298043246,0.041317277146967285,0.3645372153812485
1999-11-16,0.0656770467758178,0.0668710881843693,0.0611393054190696,0.0613777501949748,723792000,0.049430614337325054,0.052186153209100486,0.04524520359933371,0.047160098082047755,0.04002066690474744,0.04155966291441854,0.1563640666208066
1999-11-17,0.0681843683123588,0.0716472810552087,0.0659154972042286,0.0668711008506955,786384000,0.05091730114072557,0.053709792742744136,0.04559628218412394,0.04798457926755015,0.04018724629655476,0.04182458535618909,0.07880423766419442
